T/R 	1         	2         	3         	4         	5         	6         	7         	8         	9         	10        	11        	12        	13        	14        	15        	16        	17        	18        	19        	20        	21        	22        	23        	24        	25
22  	    0.0134923855	    0.0113132749	7.87674074545E+5	 9646.8622478078	1.28634504380E+5	16248.6521680979	77127.0591533253	4.13615376393E+5	1.41563731609E+6	2.58834334800E+7	7.91141025302E+6	3.11951500180E+5	4.91859805697E+5	5.48889539920E+5	2.75054503867E+7	2.01271985978E+7	2.75304039202E+7	9.82845543377E+6	4.37791352385E+6	8.34653063059E+6	2.12186961495E+7	2.07709665590E+7	1.65074893766E+7	1.57716040733E+6	3.45832565725E+6
23  	    0.0103249782	    0.0090597850	7.87674072961E+5	 9646.8622891887	1.28634504526E+5	16248.6519446350	77127.0590989366	4.13615376430E+5	1.41563731867E+6	2.58834334816E+7	7.91141025517E+6	3.11951500187E+5	4.91859805896E+5	5.48889540118E+5	2.75054503869E+7	2.48141529005E+7	2.75304039260E+7	9.82845543398E+6	4.37791352398E+6	8.34653063066E+6	2.12186961495E+7	2.07709665591E+7	1.65074893768E+7	1.57716040736E+6	3.45832565729E+6
24  	    0.0075289169	    0.0070253513	    0.0157543676	 9646.8623336248	1.28634504693E+5	16248.6516650964	77127.0590377370	4.13615376468E+5	1.41563732725E+6	2.58834334829E+7	8.39161186037E+6	3.11951500194E+5	4.91859806141E+5	5.48889540348E+5	2.75054503871E+7	2.80806966771E+7	2.75304039307E+7	9.82845543418E+6	4.37791352410E+6	8.34653063073E+6	2.12186961495E+7	2.07709665591E+7	1.65074893770E+7	1.57716040739E+6	3.45832565732E+6
25  	    0.0061704625	    0.0060777612	    0.0156507273	 9646.8623808094	1.28634504879E+5	16248.6513408787	77127.0589709699	4.13615376509E+5	1.41563734438E+6	2.58834334837E+7	1.28129141826E+7	3.11951500202E+5	4.91859806427E+5	5.48889540607E+5	2.75054503873E+7	2.80806966802E+7	2.75304039322E+7	9.82845543435E+6	4.37791352420E+6	8.34653063079E+6	2.12186961495E+7	2.07709665591E+7	1.65074893772E+7	1.57716040742E+6	3.45832565735E+6
26  	    0.0052539907	    0.0054073668	    0.0146673699	 9646.8624317233	1.28634505096E+5	16248.6509546863	77127.0588978706	4.13615376551E+5	1.41563739229E+6	2.58834334843E+7	1.71188142482E+7	3.11951500210E+5	4.91859806782E+5	5.48889540928E+5	2.75054503874E+7	2.80806966816E+7	2.75304039331E+7	9.82845543451E+6	4.37791352430E+6	8.34653063085E+6	2.12186961495E+7	2.07709665592E+7	1.65074893774E+7	1.57716040744E+6	3.45832565737E+6
27  	    0.0045709125	    0.0048738701	    0.0127336402	 9646.8624870084	1.28634505354E+5	16248.6504789027	77127.0588176191	4.13615376596E+5	3.74130822972E+6	2.58834334848E+7	1.89813100170E+7	3.11951500219E+5	4.91859807263E+5	5.48889541378E+5	2.75054503876E+7	2.80806966826E+7	2.75304039338E+7	9.82845543466E+6	4.37791352439E+6	8.34653063090E+6	2.12186961496E+7	2.07709665592E+7	1.65074893775E+7	1.57716040747E+6	3.45832565740E+6
28  	    0.0040675982	    0.0044515382	    0.0110296287	 9646.8625468879	1.28634505654E+5	16248.6499053281	77127.0587303418	4.13615376643E+5	7.82257026935E+6	2.58834334852E+7	1.89813100400E+7	3.11951500229E+5	4.91859807948E+5	5.48889542119E+5	2.75054503877E+7	2.80806966832E+7	2.75304039343E+7	9.82845543479E+6	4.37791352447E+6	8.34653063095E+6	2.12186961496E+7	2.07709665593E+7	1.65074893777E+7	1.57716040749E+6	3.45832565742E+6
29  	    0.0036700200	    0.0040991697	    0.0095578993	 9646.8626122483	1.28634506001E+5	16248.6491837852	77127.0586349159	4.13615376694E+5	1.17947681627E+7	2.58834334855E+7	1.89813100499E+7	3.11951500239E+5	4.91859808958E+5	5.48889543474E+5	2.75054503878E+7	2.80806966838E+7	2.75304039347E+7	9.82845543491E+6	4.37791352455E+6	8.34653063100E+6	2.12186961496E+7	2.07709665593E+7	1.65074893778E+7	1.57716040751E+6	3.45832565745E+6
30  	    0.0033406289	    0.0037951306	    0.0082966004	 9646.8626830009	1.28634506388E+5	16248.6482217498	77127.0585299378	4.13615376747E+5	1.56556986579E+7	2.58834334858E+7	1.89813100558E+7	3.11951500250E+5	4.91859810377E+5	5.48889545722E+5	2.75054503879E+7	2.80806966842E+7	2.75304039351E+7	9.82845543502E+6	4.37791352462E+6	8.34653063104E+6	2.12186961496E+7	2.07709665593E+7	1.65074893779E+7	1.57716040753E+6	3.45832565747E+6
31  	    0.0030589182	    0.0035268350	    0.0072060758	 9646.8627584037	1.28634506830E+5	16248.6468362526	77127.0584137884	4.13615376804E+5	1.94031140003E+7	2.58834334860E+7	1.89813100607E+7	3.11951500260E+5	4.91859812424E+5	5.48889549419E+5	2.75054503880E+7	2.80806966846E+7	2.75304039354E+7	9.82845543512E+6	4.37791352469E+6	8.34653063108E+6	2.12186961496E+7	2.07709665593E+7	1.65074893780E+7	1.57716040755E+6	3.45832565748E+6
