T/R 	1         	2         	3         	4         	5         	6         	7         	8         	9         	10        	11        	12        	13        	14        	15        	16        	17        	18        	19        	20        	21        	22        	23        	24        	25
28  	    0.0000235801	    0.0000237134	    0.0000246731	    0.0000903187	    0.0003677981	    0.0000247269	    0.0000251344	    0.0000760144	3.97219789341E+6	    0.0003477975	    0.0098968389	    0.0000417931	    0.0010304546	    0.0013748215	    0.0001349044	    0.0005570760	    0.0004411624	    0.0001461332	    0.0001025666	    0.0000715763	    0.0000430270	    0.0000559919	    0.0001444835	    0.0000491541	    0.0000509945
29  	    0.0000245054	    0.0000246507	    0.0000254344	    0.0000965938	    0.0004087284	    0.0000255840	    0.0000255820	    0.0000803222	3.86093049522E+6	    0.0003081403	    0.0059511392	    0.0000432359	    0.0014391884	    0.0022687724	    0.0001270516	    0.0004746768	    0.0003829407	    0.0001375909	    0.0000983911	    0.0000698359	    0.0000431705	    0.0000551313	    0.0001359374	    0.0000488574	    0.0000506559
30  	    0.0000253897	    0.0000255266	    0.0000262175	    0.0001021052	    0.0004643468	    0.0000263363	    0.0000258393	    0.0000834994	3.74741534241E+6	    0.0002748870	    0.0049453229	    0.0000445789	    0.0020682711	    0.0037182566	    0.0001194880	    0.0004133567	    0.0003373164	    0.0001300084	    0.0000944519	    0.0000680758	    0.0000433373	    0.0000542842	    0.0001277593	    0.0000485691	    0.0000502924
31  	    0.0000263389	    0.0000264231	    0.0000270793	    0.0001085929	    0.0006216297	    0.0000270920	    0.0000260816	    0.0000865598	3.63160702518E+6	    0.0002514051	    0.0044362919	    0.0000460406	    0.0041809053	    0.0088606801	    0.0001134061	    0.0003750957	    0.0003067239	    0.0001241501	    0.0000912620	    0.0000666346	    0.0000436648	    0.0000536829	    0.0001211383	    0.0000484555	    0.0000500854
32  	    0.0000275386	    0.0000275167	    0.0000281376	    0.0001189308	    0.0010175727	    0.0000280557	    0.0000265011	    0.0000914791	3.45940291427E+6	    0.0002407006	    0.0037913578	    0.0000479419	    0.0230429866	37807.7018000506	    0.0001100942	    0.0003616653	    0.0002939132	    0.0001207468	    0.0000894391	    0.0000660050	    0.0000443973	    0.0000536782	    0.0001174074	    0.0000487868	    0.0000503284
33  	    0.0000287361	    0.0000285567	    0.0000292529	    0.0001256138	    0.0011968427	    0.0000289282	    0.0000270464	    0.0000964921	    0.0058371799	    0.0002152248	    0.0016002482	    0.0000493248	    0.0300086823	3.44681200099E+6	    0.0001045053	    0.0003097535	    0.0002573388	    0.0001134536	    0.0000857212	    0.0000645898	    0.0000448761	    0.0000532646	    0.0001108585	    0.0000487230	    0.0000501484
34  	    0.0000301220	    0.0000297011	    0.0000305728	    0.0001313921	    0.0012751613	    0.0000298314	    0.0000277389	    0.0001026443	    0.0022778168	    0.0001971338	    0.0009521831	    0.0000508603	    0.0351320895	3.37881843457E+6	    0.0001003862	    0.0002752525	    0.0002320585	    0.0001073879	    0.0000826594	    0.0000636182	    0.0000456146	    0.0000532111	    0.0001058626	    0.0000489548	    0.0000502559
35  	    0.0000317765	    0.0000310331	    0.0000321036	    0.0001376515	    0.0013460869	    0.0000308641	    0.0000286062	    0.0001098878	    0.0013608725	    0.0001844645	    0.0006994582	    0.0000526889	    0.0405136099	3.30945130571E+6	    0.0000975229	    0.0002523721	    0.0002147536	    0.0001026864	    0.0000803478	    0.0000631169	    0.0000466522	    0.0000535425	    0.0001022400	    0.0000495485	    0.0000507146
36  	    0.0000337005	    0.0000325584	    0.0000338288	    0.0001441845	    0.0014203473	    0.0000320138	    0.0000296594	    0.0001177986	    0.0010003106	    0.0001747072	    0.0005753133	    0.0000548271	    0.0467380181	3.23868286666E+6	    0.0000954534	    0.0002352117	    0.0002015930	    0.0000989794	    0.0000786248	    0.0000629937	    0.0000479627	    0.0000541977	    0.0000995116	    0.0000504773	    0.0000514998
37  	    0.0000358792	    0.0000342722	    0.0000357215	    0.0001507945	    0.0015094662	    0.0000332590	    0.0000308781	    0.0001258591	    0.0008148793	    0.0001665028	    0.0005022447	    0.0000572752	    0.0554641934	3.16648480770E+6	    0.0000938627	    0.0002208977	    0.0001906023	    0.0000960092	    0.0000773724	    0.0000631749	    0.0000495132	    0.0000551210	    0.0000973525	    0.0000517040	    0.0000525792
38  	    0.0000382866	    0.0000361646	    0.0000377493	    0.0001574275	    0.0016292708	    0.0000345788	    0.0000322363	    0.0001335721	    0.0006995071	    0.0001591798	    0.0004524519	    0.0000600277	    0.0705019402	3.09282824490E+6	    0.0000925611	    0.0002081254	    0.0001808388	    0.0000936094	    0.0000765105	    0.0000636071	    0.0000512697	    0.0000562670	    0.0000955663	    0.0000531874	    0.0000539177
39  	    0.0000408893	    0.0000382227	    0.0000398807	    0.0001641379	    0.0018028669	    0.0000359572	    0.0000337069	    0.0001405355	    0.0006159426	    0.0001524458	    0.0004139090	    0.0000630757	    0.1033355245	3.01768370321E+6	    0.0000914483	    0.0001963700	    0.0001718980	    0.0000916721	    0.0000759847	    0.0000642545	    0.0000532000	    0.0000576011	    0.0000940461	    0.0000548867	    0.0000554800
40  	    0.0000436532	    0.0000404347	    0.0000420925	    0.0001710709	    0.0020592878	    0.0000373879	    0.0000352694	    0.0001465625	    0.0005485442	    0.0001462346	    0.0003812081	    0.0000664112	    0.2039393960	2.94102107385E+6	    0.0000904913	    0.0001855373	    0.0001636841	    0.0000901365	    0.0000757624	    0.0000650987	    0.0000552790	    0.0000591027	    0.0000927522	    0.0000567680	    0.0000572371
41  	    0.0000465511	    0.0000427954	    0.0000443769	    0.0001784702	    0.0024326992	    0.0000388771	    0.0000369157	    0.0001518045	    0.0004914970	    0.0001406075	    0.0003523012	    0.0000700338	6.62126059565E+5	2.20068400358E+6	    0.0000897077	    0.0001757516	    0.0001562681	    0.0000889806	    0.0000758328	    0.0000661396	    0.0000574944	    0.0000607671	    0.0000916950	    0.0000588107	    0.0000591722
